W(u),W(v),d2,d3,d4,sign
4.0,28.0,-2.0,0.09090909090909091,0.1306545362648471,-1.0
4.0,-60.0,0.0,-0.2905405405405405,-0.207022120767433,-1.0
4.0,-20.0,2.0,-0.11224489795918367,-0.12122637810711205,1.0
4.0,-20.0,-1.0,-0.29347826086956524,-0.12337607912161595,-1.0
4.0,-28.0,1.0,-0.17058823529411765,-0.09271555042340261,1.0
4.0,36.0,-1.0,0.21428571428571427,0.21358252576526687,-1.0
4.0,16.0,1.0,0.1574074074074074,0.04982307147912243,1.0
4.0,32.0,4.0,0.30392156862745096,0.15967039800995025,1.0
4.0,-10.0,0.0,0.16417910447761194,0.0794835347074153,-1.0
4.0,24.0,1.0,0.06470588235294118,0.04616202629543697,1.0
4.0,-44.0,-2.0,-0.11805555555555555,-0.1259902748183358,-1.0
4.0,8.0,-1.0,0.25862068965517243,0.04258319232938522,-1.0
4.0,68.0,-2.0,0.3333333333333333,0.224197461739455,-1.0
4.0,64.0,1.0,0.44594594594594594,0.22440191387559807,1.0
4.0,-16.0,2.0,-0.014492753623188406,-0.06261770244821092,1.0
4.0,-20.0,0.0,0.06666666666666667,-0.06579500105019954,-1.0
4.0,-48.0,-4.0,-0.3014705882352941,-0.1612567262628016,-1.0
4.0,-12.0,-2.0,-0.3,-0.08507909362975631,-1.0
4.0,-36.0,1.0,-0.14743589743589744,-0.13466081673979075,1.0
